               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.039704,            0.011255,           0.0062027,             0.80383,             0.75967,             0.78887,             0.38837,            0.036976,           0.0055785,            0.011341,           0.0072758,           0.0072758,           0.0072758
                 121,            0.039612,            0.011119,           0.0061323,             0.78258,             0.83037,             0.82062,             0.38354,            0.036577,           0.0055832,            0.010663,           0.0072361,           0.0072361,           0.0072361
                 122,            0.039701,            0.011091,           0.0061114,             0.80031,             0.79931,             0.81165,             0.38179,            0.035938,            0.005616,            0.010156,           0.0071962,           0.0071962,           0.0071962
                 123,            0.039292,            0.011041,           0.0061556,              0.8357,             0.80982,             0.82119,             0.38488,            0.035372,            0.005483,           0.0099744,           0.0071561,           0.0071561,           0.0071561
                 124,            0.039766,            0.011003,            0.005955,             0.87428,             0.81904,             0.84213,             0.39844,            0.034989,           0.0052549,            0.010105,            0.007116,            0.007116,            0.007116
                 125,            0.039585,            0.011186,           0.0061714,             0.85984,             0.81463,             0.83283,             0.39355,            0.035305,           0.0052355,           0.0096122,           0.0070757,           0.0070757,           0.0070757
                 126,             0.03904,            0.011074,           0.0059672,             0.86308,             0.81542,             0.83755,             0.38751,            0.035618,           0.0052384,           0.0096071,           0.0070353,           0.0070353,           0.0070353
                 127,            0.039159,            0.011189,           0.0062311,             0.86358,             0.80742,             0.83585,             0.39137,            0.035909,           0.0053038,           0.0093272,           0.0069948,           0.0069948,           0.0069948
                 128,             0.03924,            0.011161,           0.0061418,             0.83838,             0.82508,             0.83313,             0.39916,            0.035469,           0.0053828,            0.010175,           0.0069541,           0.0069541,           0.0069541
                 129,            0.039339,            0.010993,           0.0057586,             0.86036,             0.78795,             0.82477,              0.3863,            0.036107,           0.0054677,            0.010454,           0.0069134,           0.0069134,           0.0069134
                 130,            0.039579,            0.010994,           0.0057917,             0.85271,             0.78931,             0.82201,             0.38847,            0.036044,           0.0054174,            0.010289,           0.0068726,           0.0068726,           0.0068726
                 131,            0.039191,             0.01118,           0.0058632,             0.82039,             0.80206,             0.82295,             0.39233,            0.035191,            0.005459,            0.010373,           0.0068316,           0.0068316,           0.0068316
                 132,            0.039236,            0.010923,           0.0064776,             0.83223,             0.79795,             0.83325,             0.40645,            0.034321,           0.0052549,             0.01089,           0.0067906,           0.0067906,           0.0067906
                 133,            0.039149,            0.010882,           0.0058797,             0.83175,              0.7835,             0.82662,             0.39774,            0.034403,           0.0053411,            0.011329,           0.0067495,           0.0067495,           0.0067495
                 134,            0.039623,            0.010897,           0.0055784,             0.80065,             0.81027,             0.82714,             0.39433,            0.034521,           0.0053464,            0.011609,           0.0067083,           0.0067083,           0.0067083
                 135,            0.038568,            0.010846,           0.0056739,             0.83854,             0.80401,             0.83829,             0.40096,            0.033981,           0.0052789,            0.011228,           0.0066671,           0.0066671,           0.0066671
                 136,            0.038273,            0.010749,           0.0057922,             0.81552,             0.82076,               0.835,             0.39324,            0.033914,           0.0053135,            0.011543,           0.0066257,           0.0066257,           0.0066257
                 137,            0.038709,            0.010863,           0.0057365,             0.82094,              0.8048,             0.81511,             0.39282,             0.03403,           0.0053648,            0.011843,           0.0065843,           0.0065843,           0.0065843
                 138,            0.038495,            0.010905,           0.0055419,             0.77939,             0.81232,              0.8105,             0.38947,            0.034406,            0.005432,            0.012119,           0.0065429,           0.0065429,           0.0065429
                 139,            0.038828,            0.010988,           0.0058932,             0.75401,             0.82538,             0.80065,             0.38804,            0.034354,           0.0055146,            0.012634,           0.0065013,           0.0065013,           0.0065013
                 140,            0.038702,            0.010872,           0.0060454,             0.76726,             0.80025,             0.78669,             0.39262,            0.034285,           0.0055205,            0.013197,           0.0064597,           0.0064597,           0.0064597
                 141,            0.038334,             0.01086,           0.0057398,             0.76101,             0.80507,             0.79064,              0.3865,             0.03513,           0.0056196,            0.013116,           0.0064181,           0.0064181,           0.0064181
                 142,            0.038306,            0.010786,           0.0059357,             0.74368,             0.80483,             0.79948,             0.40301,            0.035155,           0.0055202,            0.012798,           0.0063764,           0.0063764,           0.0063764
                 143,            0.038071,            0.010793,           0.0059742,              0.7851,             0.80892,             0.82547,             0.40481,            0.035018,           0.0054753,            0.012183,           0.0063347,           0.0063347,           0.0063347
                 144,            0.038194,            0.010862,           0.0053578,             0.82052,             0.77375,             0.82541,             0.40162,             0.03504,           0.0054711,            0.011472,            0.006293,            0.006293,            0.006293
                 145,            0.037817,            0.010731,           0.0056458,             0.83909,             0.77054,             0.82539,              0.4037,            0.035022,           0.0054244,            0.011023,           0.0062512,           0.0062512,           0.0062512
                 146,            0.038331,            0.010508,           0.0054871,             0.87344,             0.76162,             0.83047,             0.40697,            0.034955,            0.005439,            0.011022,           0.0062093,           0.0062093,           0.0062093
                 147,            0.037638,            0.010725,           0.0057154,             0.85077,             0.78108,             0.84172,             0.42126,              0.0347,           0.0053233,            0.010505,           0.0061675,           0.0061675,           0.0061675
                 148,            0.038195,            0.010981,           0.0054128,              0.8636,              0.7722,             0.83629,             0.41549,            0.034622,           0.0053201,            0.010323,           0.0061256,           0.0061256,           0.0061256
                 149,            0.037934,            0.010677,           0.0057732,             0.85013,             0.77534,             0.83448,              0.4107,            0.035043,           0.0053751,            0.010252,           0.0060838,           0.0060838,           0.0060838
                 150,            0.038898,            0.010663,           0.0058388,             0.85144,             0.77625,             0.82995,             0.40655,            0.035486,           0.0054111,            0.010345,           0.0060419,           0.0060419,           0.0060419
                 151,            0.037921,            0.010572,           0.0053936,              0.8515,             0.76737,             0.83322,             0.40919,            0.035399,           0.0054705,             0.01043,               0.006,               0.006,               0.006
                 152,            0.038356,            0.010713,           0.0057091,             0.82282,             0.77881,             0.82669,             0.41864,            0.034969,            0.005439,            0.010736,           0.0059581,           0.0059581,           0.0059581
