               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.020717,            0.010531,           0.0028418,             0.96116,             0.92781,             0.97371,             0.72829,            0.021289,           0.0041097,            0.018912,           0.0072758,           0.0072758,           0.0072758
                 121,            0.020947,            0.010537,           0.0028191,             0.94333,              0.9315,               0.974,             0.72207,            0.020497,            0.004073,            0.021945,           0.0072361,           0.0072361,           0.0072361
                 122,            0.020438,             0.01024,           0.0029084,             0.93996,             0.96679,             0.97558,             0.72674,            0.019588,           0.0041233,            0.021871,           0.0071962,           0.0071962,           0.0071962
                 123,            0.020682,             0.01022,           0.0028916,             0.93682,             0.96599,             0.97248,             0.74129,            0.019206,              0.0042,            0.024732,           0.0071561,           0.0071561,           0.0071561
                 124,            0.020345,            0.010157,           0.0027601,             0.93214,             0.96322,             0.97391,             0.73365,            0.019013,           0.0041901,            0.026653,            0.007116,            0.007116,            0.007116
                 125,             0.02055,            0.010303,           0.0029262,             0.93347,             0.96684,             0.97489,             0.73375,            0.019595,           0.0040869,            0.027226,           0.0070757,           0.0070757,           0.0070757
                 126,            0.020436,             0.01044,           0.0029591,             0.93313,             0.93569,             0.97488,             0.73605,            0.019883,           0.0040536,            0.029382,           0.0070353,           0.0070353,           0.0070353
                 127,            0.020479,            0.010224,           0.0027239,             0.91527,             0.96567,             0.97374,             0.73118,             0.02009,            0.004078,            0.027016,           0.0069948,           0.0069948,           0.0069948
                 128,            0.020334,            0.010048,           0.0027644,             0.92001,             0.94689,             0.97271,             0.73243,            0.019954,           0.0039983,            0.027778,           0.0069541,           0.0069541,           0.0069541
                 129,            0.020633,            0.010298,           0.0027231,             0.93002,             0.96787,             0.97087,             0.74198,            0.020094,           0.0040382,            0.024029,           0.0069134,           0.0069134,           0.0069134
                 130,            0.020436,            0.010245,           0.0027501,             0.92765,             0.95593,             0.96859,             0.73257,            0.020393,           0.0040689,            0.023175,           0.0068726,           0.0068726,           0.0068726
                 131,            0.020288,            0.010352,           0.0027222,             0.91083,             0.95235,             0.96813,             0.72795,            0.020539,           0.0040513,            0.023975,           0.0068316,           0.0068316,           0.0068316
                 132,            0.020416,            0.010198,           0.0029207,             0.90435,             0.94099,              0.9678,             0.72065,            0.020417,           0.0040754,            0.022676,           0.0067906,           0.0067906,           0.0067906
                 133,            0.020014,            0.010126,           0.0028801,             0.92688,             0.92008,             0.96836,              0.7204,            0.020474,           0.0041073,            0.022966,           0.0067495,           0.0067495,           0.0067495
                 134,            0.019925,            0.010272,           0.0024629,             0.91926,             0.95061,             0.97198,              0.7165,            0.020829,           0.0041152,            0.024579,           0.0067083,           0.0067083,           0.0067083
                 135,            0.019977,            0.010132,           0.0027077,             0.94064,              0.9223,             0.97192,             0.71254,            0.020696,           0.0041117,            0.024035,           0.0066671,           0.0066671,           0.0066671
                 136,            0.020083,           0.0099184,           0.0024732,             0.93721,             0.91699,             0.97362,             0.71345,            0.020576,           0.0040776,            0.024138,           0.0066257,           0.0066257,           0.0066257
                 137,            0.020134,           0.0099767,           0.0024884,             0.90175,             0.94553,             0.97159,             0.71332,            0.020263,           0.0040646,            0.024345,           0.0065843,           0.0065843,           0.0065843
                 138,            0.020076,            0.009967,           0.0028141,             0.90121,             0.93967,             0.96992,              0.7247,            0.019761,           0.0040568,            0.024023,           0.0065429,           0.0065429,           0.0065429
                 139,            0.019453,            0.009822,           0.0025528,             0.91528,             0.93168,             0.96978,              0.7243,            0.019776,           0.0040258,            0.022288,           0.0065013,           0.0065013,           0.0065013
                 140,            0.019801,           0.0099387,            0.002647,             0.91036,             0.90794,             0.96807,             0.71812,            0.019493,           0.0040703,            0.023268,           0.0064597,           0.0064597,           0.0064597
                 141,            0.019644,           0.0097419,           0.0024056,             0.87716,             0.92789,             0.96742,             0.71927,            0.019246,           0.0040461,            0.024693,           0.0064181,           0.0064181,           0.0064181
                 142,            0.019796,           0.0099301,           0.0025991,              0.8865,             0.91621,             0.96794,             0.71502,            0.019271,           0.0040682,            0.026311,           0.0063764,           0.0063764,           0.0063764
                 143,            0.019882,           0.0099325,           0.0024863,             0.90868,             0.91608,             0.97068,             0.71773,            0.019242,           0.0040454,            0.026302,           0.0063347,           0.0063347,           0.0063347
                 144,            0.019408,           0.0098618,           0.0027053,             0.91199,             0.91608,             0.97181,             0.72343,            0.019268,           0.0039636,            0.025904,            0.006293,            0.006293,            0.006293
                 145,            0.019408,           0.0095993,           0.0023463,             0.92627,             0.92134,             0.97147,             0.72269,            0.019543,           0.0039745,            0.026181,           0.0062512,           0.0062512,           0.0062512
                 146,            0.019561,           0.0096209,           0.0025287,             0.94285,             0.91602,              0.9708,             0.72017,            0.019802,           0.0040338,            0.028163,           0.0062093,           0.0062093,           0.0062093
                 147,            0.019669,           0.0098728,           0.0029841,             0.93584,             0.92667,             0.97235,             0.72053,            0.019743,           0.0040563,            0.027728,           0.0061675,           0.0061675,           0.0061675
                 148,            0.019418,           0.0098031,            0.002365,              0.9494,             0.92665,             0.97291,             0.71829,            0.019831,           0.0041081,            0.027969,           0.0061256,           0.0061256,           0.0061256
                 149,            0.019443,           0.0099708,            0.002715,             0.95053,             0.92858,             0.97426,              0.7255,            0.019748,           0.0041395,            0.028087,           0.0060838,           0.0060838,           0.0060838
                 150,            0.019297,           0.0097199,           0.0026008,             0.94416,             0.92541,              0.9741,             0.72887,            0.019676,           0.0041279,            0.029026,           0.0060419,           0.0060419,           0.0060419
                 151,            0.019289,           0.0097157,           0.0022794,             0.94015,             0.93627,             0.97546,             0.73313,            0.019621,           0.0041472,             0.02857,               0.006,               0.006,               0.006
                 152,            0.019133,           0.0095358,           0.0023971,               0.943,             0.93578,             0.97501,             0.72917,            0.019639,           0.0041668,            0.029412,           0.0059581,           0.0059581,           0.0059581
